Store Name,Phone Number,Address,Store Url,Longitude,Latitude,City
Alhambra,(626) 281-9990,"2810 W. Alhambra Rd
Alhambra, CA 91801",https://locations.99only.com/ca/alhambra/discount-store-184.html,-118.1545993,34.0978818,Alhambra
Anaheim - Euclid,(714) 999-8653,"910 S. Euclid St
Anaheim, CA 92802",https://locations.99only.com/ca/anaheim/discount-store-414.html,-117.9406554,33.819685,Anaheim
Anaheim - State College,(714) 491-8999,"2270 E. Lincoln Ave
Anaheim, CA 92806",https://locations.99only.com/ca/anaheim/discount-store-100.html,-117.8848486,33.8378922,Anaheim
Antioch,(925) 757-8999,"2515 Somersville Rd
Antioch, CA 94509",https://locations.99only.com/ca/antioch/discount-store-228.html,-121.8385581,38.0002186,Antioch
Apple Valley - Hwy 18,(760) 242-0488,"20220 Hwy 18
Apple Valley, CA 92307",https://locations.99only.com/ca/applevalley/discount-store-440.html,-117.2217714,34.5289301,Apple Valley
Apple Valley,(760) 961-1879,"19201 Bear Valley Rd
Apple Valley, CA 92308",https://locations.99only.com/ca/applevalley/discount-store-254.html,-117.2435468,34.4705034,Apple Valley
Arcadia,(626) 294-1999,"140 E. Duarte Rd
Arcadia, CA 91006",https://locations.99only.com/ca/arcadia/discount-store-69.html,-118.026568,34.1299324,Arcadia
Woodman,(818) 891-9991,"8625 Woodman Ave
Arleta, CA 91331",https://locations.99only.com/ca/arleta/discount-store-42.html,-118.4342909,34.2269624,Arleta
Artesia,(562) 865-0291,"11732 South St
Artesia, CA 90701",https://locations.99only.com/ca/artesia/discount-store-321.html,-118.0835475,33.8580158,Artesia
Atascadero,(805) 462-9990,"7101 El Camino Real
Atascadero, CA 93422",https://locations.99only.com/ca/atascadero/discount-store-353.html,-120.6629941,35.4865554,Atascadero
Atwater,(209) 358-7019,"1870 Bellevue Rd
Atwater, CA 95301",https://locations.99only.com/ca/atwater/discount-store-292.html,-120.6129345,37.3592954,Atwater
Azusa,(626) 633-0990,"307 N. Citrus Ave
Azusa, CA 91702",https://locations.99only.com/ca/azusa/discount-store-90.html,-117.8914864,34.126854,Azusa
Bakersfield - Niles,(661) 363-0006,"3815 Niles St
Bakersfield, CA 93306",https://locations.99only.com/ca/bakersfield/discount-store-438.html,-118.9413217,35.3754766,Bakersfield
Bakersfield - Centennial,(661) 829-2502,"8200 Centennial Plaza Way
Bakersfield, CA 93312",https://locations.99only.com/ca/bakersfield/discount-store-393.html,-119.0938989,35.4019233,Bakersfield
Bakersfield - Olive,(661) 399-9943,"1121 Olive Dr
Bakersfield, CA 93308",https://locations.99only.com/ca/bakersfield/discount-store-258.html,-119.0446289,35.4112479,Bakersfield
Bakersfield - White Lane,(661) 397-7999,"1501 White Ln
Bakersfield, CA 93307",https://locations.99only.com/ca/bakersfield/discount-store-146.html,-119.0195333,35.3163797,Bakersfield
