Store Name,Phone Number,Address,Store Url,Latitude,Longitude,City
Apache Junction,(480) 983-9915,"3003 W. Apache Trail
Apache Junction, AZ 85120",https://locations.99only.com/az/apachejunction/discount-store-219.html,-111.5782244,33.413779,Apache Junction
Bullhead City - Hwy 46,(928) 704-0099,"3699 Highway 95
Bullhead City, AZ 86442",https://locations.99only.com/az/bullheadcity/discount-store-430.html,-114.5918998,35.0528237,Bullhead City
Casa Grande,(520) 876-9281,"1683 E. Florence Blvd
Casa Grande, AZ 85122",https://locations.99only.com/az/casagrande/discount-store-387.html,-111.7153996,32.8782385,Casa Grande
Chandler,(480) 899-8399,"1996 N. Alma School Rd
Chandler, AZ 85224",https://locations.99only.com/az/chandler/discount-store-167.html,-111.8608643,33.334679,Chandler
Douglas - 5th St,(520) 364-6454,"204 5th St
Suite D
Douglas, AZ 85607",https://locations.99only.com/az/douglas/discount-store-449.html,-109.5587434,31.3390485,Douglas
Gilbert,(480) 545-7999,"750 N. Gilbert Rd
Gilbert, AZ 85233",https://locations.99only.com/az/gilbert/discount-store-306.html,-111.7925806,33.3636775,Gilbert
Phoenix - 43rd Avenue,(602) 942-0598,"4240 W. Bell Rd
Glendale, AZ 85308",https://locations.99only.com/az/glendale/discount-store-322.html,-112.1505305,33.6408339,
Glendale - 67th Avenue,(623) 572-5299,"20165 N. 67th Ave
Glendale, AZ 85308",https://locations.99only.com/az/glendale/discount-store-207.html,-112.2016522,33.6649594,
Glendale (AZ),(623) 930-1112,"5340 W. Glendale Ave
Glendale, AZ 85301",https://locations.99only.com/az/glendale/discount-store-178.html,-112.1741811,33.5393014,
Goodyear,(623) 882-3399,"13540 W. Van Buren St
Goodyear, AZ 85338",https://locations.99only.com/az/goodyear/discount-store-231.html,-112.3508209,33.450992,
Kingman,(928) 718-7199,"3140 Stockton Hill Rd.
Kingman, AZ 86401",https://locations.99only.com/az/kingman/discount-store-368.html,-114.0340271,35.2152166,
Lake Havasu City,(928) 505-3099,"1795 Kiowa Blvd
Lake Havasu, AZ 86403",https://locations.99only.com/az/lakehavasu/discount-store-314.html,-114.3515065,34.5033378,Lake Havasu
Laveen,(602) 237-7855,"3610 W. Baseline Rd
Laveen, AZ 85339",https://locations.99only.com/az/laveen/discount-store-373.html,-112.136408,33.3791032,Laveen
Maricopa,(520) 568-0079,"44515 W. Edison Rd
Maricopa, AZ 85138",https://locations.99only.com/az/maricopa/discount-store-367.html,-112.0464261,33.064366,Maricopa
Mesa - Gilbert,(480) 632-5733,"1045 S. Gilbert Rd
Mesa, AZ 85204",https://locations.99only.com/az/mesa/discount-store-426.html,-111.786898,33.3960107,Mesa
Mesa - Stapley,(480) 964-1494,"2009 N Stapley Dr
Mesa, AZ 85203",https://locations.99only.com/az/mesa/discount-store-419.html,-111.8038526,33.4521072,Mesa
Mesa - Power,(480) 985-1199,"2070 S. Power Rd
Mesa, AZ 85208",https://locations.99only.com/az/mesa/discount-store-324.html,-111.6879976,33.3782064,Mesa
Mesa - Main,(480) 396-2499,"4433 E. Main St
Mesa, AZ 85205",https://locations.99only.com/az/mesa/discount-store-163.html,-111.7351861,33.4141798,Mesa
Mesa - Country Club,(480) 827-0909,"1120 S. Country Club Dr
Mesa, AZ 85210",https://locations.99only.com/az/mesa/discount-store-145.html,-111.8418819,33.3949085,Mesa
Peoria,(623) 979-0599,"8375 W. Thunderbird Rd
Peoria, AZ 85381",https://locations.99only.com/az/peoria/discount-store-220.html,-112.23924,33.6085347,Peoria
