Store Name,Phone Number,Address,Store Url,Longitude,Latitude,City
Boulder City,(702) 293-5280,"800 Buchanan Blvd
Boulder City, NV 89005",https://locations.99only.com/nv/bouldercity/discount-store-404.html,-114.8467083,35.972352,Boulder City
Carson City - William,(775) 883-5404,"2080 E. Williman St
Carson City, NV 89701",https://locations.99only.com/nv/carsoncity/discount-store-391.html,-119.7450018,39.1746128,Carson City
Henderson - Marks,(702) 898-9928,"520 Marks St. #C
Henderson, NV 89014",https://locations.99only.com/nv/henderson/discount-store-171.html,-115.0355707,36.0599995,Henderson
Henderson - Boulder,(702) 558-9919,"716 S Boulder Hwy
Henderson, NV 89015",https://locations.99only.com/nv/henderson/discount-store-344.html,-114.9690215,36.0309305,Henderson
Las Vegas - Eastern,(702) 617-1989,"9230 S. Eastern Ave
Henderson, NV 89052",https://locations.99only.com/nv/henderson/discount-store-147.html,-115.1169315,36.0216502,Henderson
Las Vegas - Eastern / Warm Springs,(702) 260-0223,"7380 S. Eastern Ave
Las Vegas, NV 89123",https://locations.99only.com/nv/lasvegas/discount-store-421.html,-115.1167462,36.055626,Las Vegas
Las Vegas - Cheyenne,(702) 643-2044,"3258 N. Las Vegas Blvd
Las Vegas, NV 89115",https://locations.99only.com/nv/lasvegas/discount-store-386.html,-115.0930257,36.2162334,Las Vegas
Las Vegas - Blue Diamond,(702) 451-0399,"3835 Blue Diamond Rd
Las Vegas, NV 89139",https://locations.99only.com/nv/lasvegas/discount-store-374.html,-115.1909852,36.0384333,Las Vegas
Las Vegas - Rancho,(702) 456-1132,"3141 N. Rancho Dr
Las Vegas, NV 89130",https://locations.99only.com/nv/lasvegas/discount-store-333.html,-115.2133427,36.216137,Las Vegas
Las Vegas - Ocotillo,(702) 736-9916,"2419 E. Tropicana
Las Vegas, NV 89121",https://locations.99only.com/nv/lasvegas/discount-store-294.html,-115.1182634,36.0987103,Las Vegas
Las Vegas - Beltway,(702) 876-6699,"4920 S. Fort Apache Rd
Las Vegas, NV 89148",https://locations.99only.com/nv/lasvegas/discount-store-211.html,-115.2958896,36.0992136,Las Vegas
Las Vegas - Decatur,(702) 259-9949,"1200 S. Decatur Blvd
Las Vegas, NV 89102",https://locations.99only.com/nv/lasvegas/discount-store-195.html,-115.2072944,36.1573953,Las Vegas
Las Vegas - Lake Mead,(702) 869-3299,"7470 W. Lakemead Blvd
Las Vegas, NV 89128",https://locations.99only.com/nv/lasvegas/discount-store-159.html,-115.2569943,36.1974586,Las Vegas
Las Vegas - Charleston,(702) 382-9946,"1155 E. Charleston Blvd
Las Vegas, NV 89104",https://locations.99only.com/nv/lasvegas/discount-store-143.html,-115.1376854,36.1595051,Las Vegas
Las Vegas - Tropicana,(702) 456-9949,"4910 Tropicana Ave
Las Vegas, NV 89121",https://locations.99only.com/nv/lasvegas/discount-store-132.html,-115.0656895,36.1010066,Las Vegas
Las Vegas - Spring Mountain,(702) 368-2499,"7239 Spring Mountain Rd.
Las Vegas, NV 89117",https://locations.99only.com/nv/lasvegas/discount-store-120.html,-115.2497704,36.1253256,Las Vegas
Las Vegas - Nellis,(702) 459-1599,"45 North Nellis Blvd
Las Vegas, NV 89110",https://locations.99only.com/nv/lasvegas/discount-store-105.html,-115.0636512,36.1606265,Las Vegas
Las Vegas - Flamingo,(702) 794-4999,"1325 E. Flamingo Rd
Las Vegas, NV 89119",https://locations.99only.com/nv/lasvegas/discount-store-94.html,-115.1361104,36.1139553,Las Vegas
Las Vegas - Craig,(702) 642-8299,"1435 W. Craig Rd., Ste 3
North Las Vegas, NV 89032",https://locations.99only.com/nv/northlasvegas/discount-store-117.html,-115.1607472,36.2378222,North Las Vegas
Reno,(775) 825-2437,"5695 S. Virginia St
Reno, NV 89502",https://locations.99only.com/nv/reno/discount-store-346.html,-119.7883369,39.4735054,Reno
Sparks,(775) 331-3890,"580 E. Prater Way
Sparks, NV 89431",https://locations.99only.com/nv/sparks/discount-store-349.html,-119.7363603,39.5430136,Sparks
