Store Name,Phone Number,Address,Store Url,Latitude,Longitude,City
Arlington,(817) 801-1391,"908 E. Pioneer Pkwy
Arlington, TX 76010",https://locations.99only.com/tx/arlington/discount-store-2885.html,-97.0964924,32.7069288,Arlington
Colleyville,(817) 427-3999,"3901 Colleyville Blvd
Colleyville, TX 76034",https://locations.99only.com/tx/colleyville/discount-store-2818.html,-97.171029,32.8668879,Colleyville
Conroe,(936) 494-3999,"1420 Loop 336
Conroe, TX 77304",https://locations.99only.com/tx/conroe/discount-store-2831.html,-95.4823724,30.3340028,Conroe
Dallas - Bruton,(214) 388-5858,"9009 Bruton Rd
Dallas, TX 75217",https://locations.99only.com/tx/dallas/discount-store-2847.html,-96.6662969,32.7491775,Dallas
Dallas - Live Oak,(214) 370-8796,"4500 Live Oak St
Dallas, TX 75204",https://locations.99only.com/tx/dallas/discount-store-2845.html,-96.7755859,32.7991208,Dallas
Dallas - Frankford,(214) 483-3992,"3632 Frankford Rd
Dallas, TX 75287",https://locations.99only.com/tx/dallas/discount-store-2840.html,-96.8542551,32.9956878,Dallas
Dallas - Preston,(972) 386-5999,"13444 Preston Rd
Dallas, TX 75240",https://locations.99only.com/tx/dallas/discount-store-2837.html,-96.8025304,32.9313022,Dallas
Duncanville,(972) 283-6088,"410 E.Camp Wisdom Rd
Duncanville, TX 75116",https://locations.99only.com/tx/duncanville/discount-store-2879.html,-96.902027,32.661428,Duncanville
El Paso,(915) 533-8143,"1000 S. Stanton Street
El Paso, TX 79901",https://locations.99only.com/tx/elpaso/discount-store-2886.html,-106.4828291,31.7499518,El Paso
Fort Worth - Alta Mere,(817) 735-8924,"455 Sherry Ln
Fort Worth, TX 76114",https://locations.99only.com/tx/fortworth/discount-store-2882.html,-97.428418,32.7520975,
Fort Worth,(817) 569-9966,"6732 Camp Bowie Blvd
Fort Worth, TX 76116",https://locations.99only.com/tx/fortworth/discount-store-2823.html,-97.4338275,32.722308,
Garland - Buckingham,(972) 496-6999,"1445 West Buckingham Road
Garland, TX 75040",https://locations.99only.com/tx/garland/discount-store-2822.html,-96.6498884,32.9317057,
Garland - Centerville,(972) 682-9991,"950 W. Centerville Rd
Garland, TX 75041",https://locations.99only.com/tx/garland/discount-store-2821.html,-96.643602,32.8585714,
Harlingen,(956) 412-9992,"701 N. 13th St
Harlingen, TX 78550",https://locations.99only.com/tx/harlingen/discount-store-2857.html,-97.6840756,26.199427,
Houston - Stella Link,(713) 665-0137,"9333 Stella Link Rd
Houston, TX 77025",https://locations.99only.com/tx/houston/discount-store-2883.html,-95.4392094,29.6805473,Houston
Houston - Greens,(281) 872-7714,"251 W Greens Rd
Houston, TX 77067",https://locations.99only.com/tx/houston/discount-store-2875.html,-95.4215699,29.9479219,Houston
Houston - Tidwell,(713) 692-9996,"5550 N. Fwy
Houston, TX 77076",https://locations.99only.com/tx/houston/discount-store-2874.html,-95.3927726,29.8480935,Houston
Houston - FM 1960,(281) 895-8599,"4849 FM1960 W
Houston, TX 77069",https://locations.99only.com/tx/houston/discount-store-2872.html,-95.5036449,29.9841328,Houston
Houston - Bellaire,(713) 665-5990,"5800 Bellaire Suite 1-101
Houston, TX 77081",https://locations.99only.com/tx/houston/discount-store-2860.html,-95.4839459,29.7062061,Houston
Houston - Lawndale,(713) 921-9992,"7061 Lawndale St
Houston, TX 77023",https://locations.99only.com/tx/houston/discount-store-2852.html,-95.2957943,29.7182918,Houston
Houston - Hobby,(713) 649-9993,"8330 Broadway St
Houston, TX 77061",https://locations.99only.com/tx/houston/discount-store-2850.html,-95.2779809,29.6708081,Houston
